t_ms,seq,hsd_err
38194,377,0x00000000
38295,378,0x00000000
38396,379,0x00000000
38497,380,0x00000000
38598,381,0x00000000
38699,382,0x00000000
38800,383,0x00000000
38901,384,0x00000000
39003,385,0x00000000
39104,386,0x00000000
39205,387,0x00000000
39306,388,0x00000000
39407,389,0x00000000
39508,390,0x00000000
39609,391,0x00000000
39710,392,0x00000000
39811,393,0x00000000
39912,394,0x00000000
40013,395,0x00000000
40114,396,0x00000000
40215,397,0x00000000
40316,398,0x00000000
40417,399,0x00000000
40521,400,0x00000000
40622,401,0x00000000
40723,402,0x00000000
40824,403,0x00000000
40925,404,0x00000000
41026,405,0x00000000
41127,406,0x00000000
41228,407,0x00000000
41330,408,0x00000000
41431,409,0x00000000
41532,410,0x00000000
41633,411,0x00000000
41734,412,0x00000000
41835,413,0x00000000
41936,414,0x00000000
42037,415,0x00000000
42138,416,0x00000000
42239,417,0x00000000
42340,418,0x00000000
42441,419,0x00000000
42542,420,0x00000000
42643,421,0x00000000
42744,422,0x00000000
42845,423,0x00000000
42946,424,0x00000000
43047,425,0x00000000
43148,426,0x00000000
43249,427,0x00000000
43350,428,0x00000000
43451,429,0x00000000
43552,430,0x00000000
43653,431,0x00000000
43755,432,0x00000000
43856,433,0x00000000
43957,434,0x00000000
44058,435,0x00000000
44159,436,0x00000000
44260,437,0x00000000
44361,438,0x00000000
44462,439,0x00000000
44563,440,0x00000000
44664,441,0x00000000
44765,442,0x00000000
44866,443,0x00000000
44967,444,0x00000000
45068,445,0x00000000
45169,446,0x00000000
45270,447,0x00000000
45371,448,0x00000000
45472,449,0x00000000
45576,450,0x00000000
45677,451,0x00000000
45778,452,0x00000000
45879,453,0x00000000
45980,454,0x00000000
46083,455,0x00000000
46184,456,0x00000000
46285,457,0x00000000
46386,458,0x00000000
46487,459,0x00000000
46588,460,0x00000000
46689,461,0x00000000
46790,462,0x00000000
46891,463,0x00000000
46992,464,0x00000000
47093,465,0x00000000
47194,466,0x00000000
47295,467,0x00000000
47396,468,0x00000000
47497,469,0x00000000
47598,470,0x00000000
47699,471,0x00000000
47800,472,0x00000000
47901,473,0x00000000
48002,474,0x00000000
48103,475,0x00000000
48204,476,0x00000000
48305,477,0x00000000
48409,478,0x00000000
48510,479,0x00000000
48611,480,0x00000000
48712,481,0x00000000
48813,482,0x00000000
48914,483,0x00000000
49015,484,0x00000000
49116,485,0x00000000
49217,486,0x00000000
49318,487,0x00000000
49419,488,0x00000000
49520,489,0x00000000
49621,490,0x00000000
49722,491,0x00000000
49823,492,0x00000000
49924,493,0x00000000
50025,494,0x00000000
50126,495,0x00000000
50227,496,0x00000000
50328,497,0x00000000
50429,498,0x00000000
50530,499,0x00000000
50637,500,0x00000000
50741,501,0x00000000
50842,502,0x00000000
50943,503,0x00000000
51044,504,0x00000000
51145,505,0x00000000
51246,506,0x00000000
51347,507,0x00000000
51448,508,0x00000000
51549,509,0x00000000
51650,510,0x00000000
51751,511,0x00000000
51852,512,0x00000000
51953,513,0x00000000
52054,514,0x00000000
52155,515,0x00000000
52256,516,0x00000000
52357,517,0x00000000
52458,518,0x00000000
52559,519,0x00000000
52660,520,0x00000000
52761,521,0x00000000
52862,522,0x00000000
52963,523,0x00000000
53064,524,0x00000000
53168,525,0x00000000
53269,526,0x00000000
53370,527,0x00000000
53471,528,0x00000000
53572,529,0x00000000
53673,530,0x00000000
53774,531,0x00000000
53875,532,0x00000000
53976,533,0x00000000
54077,534,0x00000000
54178,535,0x00000000
54279,536,0x00000000
54380,537,0x00000000
54481,538,0x00000000
54582,539,0x00000000
54683,540,0x00000000
54784,541,0x00000000
54885,542,0x00000000
54986,543,0x00000000
55087,544,0x00000000
55188,545,0x00000000
55289,546,0x00000000
55390,547,0x00000000
55494,548,0x00000000
55595,549,0x00000000
55702,550,0x00000000
55803,551,0x00000000
55904,552,0x00000000
56005,553,0x00000000
56106,554,0x00000000
56207,555,0x00000000
56308,556,0x00000000
56409,557,0x00000000
56510,558,0x00000000
56611,559,0x00000000
56712,560,0x00000000
56813,561,0x00000000
56914,562,0x00000000
57015,563,0x00000000
57116,564,0x00000000
57217,565,0x00000000
57318,566,0x00000000
57419,567,0x00000000
57520,568,0x00000000
57621,569,0x00000000
57722,570,0x00000000
57826,571,0x00000000
57927,572,0x00000000
58028,573,0x00000000
58129,574,0x00000000
58230,575,0x00000000
58331,576,0x00000000
58432,577,0x00000000
58533,578,0x00000000
58634,579,0x00000000
58735,580,0x00000000
58836,581,0x00000000
58937,582,0x00000000
59038,583,0x00000000
59139,584,0x00000000
59240,585,0x00000000
59341,586,0x00000000
59442,587,0x00000000
59543,588,0x00000000
59644,589,0x00000000
59745,590,0x00000000
59846,591,0x00000000
59947,592,0x00000000
60048,593,0x00000000
60152,594,0x00000000
60253,595,0x00000000
60354,596,0x00000000
60455,597,0x00000000
60556,598,0x00000000
60657,599,0x00000000
60765,600,0x00000000
60866,601,0x00000000
60967,602,0x00000000
61068,603,0x00000000
61169,604,0x00000000
61270,605,0x00000000
61371,606,0x00000000
61472,607,0x00000000
61573,608,0x00000000
61674,609,0x00000000
61775,610,0x00000000
61876,611,0x00000000
61977,612,0x00000000
62078,613,0x00000000
62179,614,0x00000000
62280,615,0x00000000
62381,616,0x00000000
62482,617,0x00000000
62586,618,0x00000000
62687,619,0x00000000
62788,620,0x00000000
62889,621,0x00000000
62990,622,0x00000000
63091,623,0x00000000
63192,624,0x00000000
63293,625,0x00000000
63394,626,0x00000000
63495,627,0x00000000
63596,628,0x00000000
63697,629,0x00000000
63798,630,0x00000000
63899,631,0x00000000
64000,632,0x00000000
64101,633,0x00000000
64202,634,0x00000000
64303,635,0x00000000
64404,636,0x00000000
64505,637,0x00000000
64606,638,0x00000000
64707,639,0x00000000
64808,640,0x00000000
64912,641,0x00000000
65013,642,0x00000000
65114,643,0x00000000
65215,644,0x00000000
65316,645,0x00000000
65417,646,0x00000000
65518,647,0x00000000
65619,648,0x00000000
65720,649,0x00000000
65831,650,0x00000000
65932,651,0x00000000
66033,652,0x00000000
66134,653,0x00000000
66235,654,0x00000000
66336,655,0x00000000
66437,656,0x00000000
66538,657,0x00000000
66639,658,0x00000000
66740,659,0x00000000
66841,660,0x00000000
66942,661,0x00000000
67043,662,0x00000000
67144,663,0x00000000
67248,664,0x00000000
67349,665,0x00000000
67450,666,0x00000000
67551,667,0x00000000
67652,668,0x00000000
67753,669,0x00000000
67854,670,0x00000000
67955,671,0x00000000
68056,672,0x00000000
68157,673,0x00000000
68258,674,0x00000000
68359,675,0x00000000
68460,676,0x00000000
68561,677,0x00000000
68662,678,0x00000000
68763,679,0x00000000
68864,680,0x00000000
68965,681,0x00000000
69066,682,0x00000000
69167,683,0x00000000
69268,684,0x00000000
69369,685,0x00000000
69470,686,0x00000000
69571,687,0x00000000
69673,688,0x00000000
69774,689,0x00000000
69875,690,0x00000000
69976,691,0x00000000
70077,692,0x00000000
70178,693,0x00000000
70279,694,0x00000000
70380,695,0x00000000
70481,696,0x00000000
70582,697,0x00000000
70683,698,0x00000000
70784,699,0x00000000
70896,700,0x00000000
70997,701,0x00000000
71098,702,0x00000000
71199,703,0x00000000
71300,704,0x00000000
71401,705,0x00000000
71502,706,0x00000000
71603,707,0x00000000
71704,708,0x00000000
71805,709,0x00000000
71906,710,0x00000000
72009,711,0x00000000
72110,712,0x00000000
72211,713,0x00000000
72312,714,0x00000000
72413,715,0x00000000
72514,716,0x00000000
72615,717,0x00000000
72716,718,0x00000000
72817,719,0x00000000
72918,720,0x00000000
73019,721,0x00000000
73120,722,0x00000000
73221,723,0x00000000
73322,724,0x00000000
73423,725,0x00000000
73524,726,0x00000000
73625,727,0x00000000
73726,728,0x00000000
73827,729,0x00000000
73928,730,0x00000000
74029,731,0x00000000
74130,732,0x00000000
74231,733,0x00000000
74335,734,0x00000000
74436,735,0x00000000
74537,736,0x00000000
74638,737,0x00000000
74739,738,0x00000000
74840,739,0x00000000
74941,740,0x00000000
75042,741,0x00000000
75143,742,0x00000000
75244,743,0x00000000
75345,744,0x00000000
75446,745,0x00000000
75547,746,0x00000000
75648,747,0x00000000
75749,748,0x00000000
75850,749,0x00000000
75958,750,0x00000000
76059,751,0x00000000
76160,752,0x00000000
76261,753,0x00000000
76362,754,0x00000000
76463,755,0x00000000
76564,756,0x00000000
76668,757,0x00000000
76769,758,0x00000000
76870,759,0x00000000
76971,760,0x00000000
77072,761,0x00000000
77173,762,0x00000000
77274,763,0x00000000
77375,764,0x00000000
77476,765,0x00000000
77577,766,0x00000000
77678,767,0x00000000
77779,768,0x00000000
77880,769,0x00000000
77981,770,0x00000000
78082,771,0x00000000
78183,772,0x00000000
78284,773,0x00000000
78385,774,0x00000000
78486,775,0x00000000
78587,776,0x00000000
78688,777,0x00000000
78789,778,0x00000000
78890,779,0x00000000
78991,780,0x00000000
79095,781,0x00000000
79196,782,0x00000000
79297,783,0x00000000
79398,784,0x00000000
79499,785,0x00000000
79600,786,0x00000000
79701,787,0x00000000
79802,788,0x00000000
79903,789,0x00000000
80004,790,0x00000000
80105,791,0x00000000
80206,792,0x00000000
80307,793,0x00000000
80408,794,0x00000000
80509,795,0x00000000
80610,796,0x00000000
80711,797,0x00000000
80812,798,0x00000000
80913,799,0x00000000
81020,800,0x00000000
81121,801,0x00000000
81222,802,0x00000000
81323,803,0x00000000
81427,804,0x00000000
81528,805,0x00000000
81629,806,0x00000000
81730,807,0x00000000
81831,808,0x00000000
81932,809,0x00000000
82033,810,0x00000000
82134,811,0x00000000
82235,812,0x00000000
82336,813,0x00000000
82437,814,0x00000000
82538,815,0x00000000
82639,816,0x00000000
82740,817,0x00000000
82841,818,0x00000000
82942,819,0x00000000
83043,820,0x00000000
83144,821,0x00000000
83245,822,0x00000000
83346,823,0x00000000
83447,824,0x00000000
83548,825,0x00000000
83649,826,0x00000000
83753,827,0x00000000
83854,828,0x00000000
83955,829,0x00000000
84056,830,0x00000000
84157,831,0x00000000
84258,832,0x00000000
84359,833,0x00000000
84460,834,0x00000000
84561,835,0x00000000
84662,836,0x00000000
84763,837,0x00000000
84864,838,0x00000000
84965,839,0x00000000
85066,840,0x00000000
85167,841,0x00000000
85268,842,0x00000000
85369,843,0x00000000
85470,844,0x00000000
85571,845,0x00000000
85672,846,0x00000000
85773,847,0x00000000
85874,848,0x00000000
85975,849,0x00000000
86087,850,0x00000000
86188,851,0x00000000
86289,852,0x00000000
86390,853,0x00000000
86491,854,0x00000000
86592,855,0x00000000
86693,856,0x00000000
86794,857,0x00000000
86895,858,0x00000000
86996,859,0x00000000
87097,860,0x00000000
87198,861,0x00000000
87299,862,0x00000000
87400,863,0x00000000
87501,864,0x00000000
87602,865,0x00000000
87703,866,0x00000000
87804,867,0x00000000
87905,868,0x00000000
88006,869,0x00000000
88107,870,0x00000000
88208,871,0x00000000
88309,872,0x00000000
88410,873,0x00000000
88514,874,0x00000000
88615,875,0x00000000
88716,876,0x00000000
88817,877,0x00000000
88918,878,0x00000000
89019,879,0x00000000
89120,880,0x00000000
89221,881,0x00000000
89322,882,0x00000000
89423,883,0x00000000
89524,884,0x00000000
89625,885,0x00000000
89726,886,0x00000000
89827,887,0x00000000
89928,888,0x00000000
90029,889,0x00000000
90130,890,0x00000000
90231,891,0x00000000
90332,892,0x00000000
90433,893,0x00000000
90534,894,0x00000000
90635,895,0x00000000
90736,896,0x00000000
90840,897,0x00000000
90941,898,0x00000000
91042,899,0x00000000
91153,900,0x00000000
91254,901,0x00000000
91355,902,0x00000000
91456,903,0x00000000
91557,904,0x00000000
91658,905,0x00000000
91759,906,0x00000000
91860,907,0x00000000
91961,908,0x00000000
92062,909,0x00000000
92163,910,0x00000000
92264,911,0x00000000
92365,912,0x00000000
92466,913,0x00000000
92567,914,0x00000000
92668,915,0x00000000
92769,916,0x00000000
92870,917,0x00000000
92971,918,0x00000000
93072,919,0x00000000
93174,920,0x00000000
93275,921,0x00000000
93376,922,0x00000000
93477,923,0x00000000
93578,924,0x00000000
93679,925,0x00000000
93780,926,0x00000000
93881,927,0x00000000
93982,928,0x00000000
94083,929,0x00000000
94184,930,0x00000000
94285,931,0x00000000
94386,932,0x00000000
94487,933,0x00000000
94588,934,0x00000000
94689,935,0x00000000
94790,936,0x00000000
94891,937,0x00000000
94992,938,0x00000000
95093,939,0x00000000
95194,940,0x00000000
95295,941,0x00000000
95396,942,0x00000000
95497,943,0x00000000
95599,944,0x00000000
95700,945,0x00000000
95801,946,0x00000000
95902,947,0x00000000
96003,948,0x00000000
96104,949,0x00000000
96208,950,0x00000000
96309,951,0x00000000
96410,952,0x00000000
96511,953,0x00000000
96612,954,0x00000000
96713,955,0x00000000
96814,956,0x00000000
96915,957,0x00000000
97016,958,0x00000000
97117,959,0x00000000
97218,960,0x00000000
97319,961,0x00000000
97420,962,0x00000000
97521,963,0x00000000
97622,964,0x00000000
97723,965,0x00000000
97824,966,0x00000000
97926,967,0x00000000
98027,968,0x00000000
98128,969,0x00000000
98229,970,0x00000000
98330,971,0x00000000
98431,972,0x00000000
98532,973,0x00000000
98633,974,0x00000000
98734,975,0x00000000
98835,976,0x00000000
98936,977,0x00000000
99037,978,0x00000000
99138,979,0x00000000
99239,980,0x00000000
99340,981,0x00000000
99441,982,0x00000000
99542,983,0x00000000
99643,984,0x00000000
99744,985,0x00000000
99845,986,0x00000000
99946,987,0x00000000
100047,988,0x00000000
100148,989,0x00000000
100251,990,0x00000000
100352,991,0x00000000
100453,992,0x00000000
100554,993,0x00000000
100655,994,0x00000000
100756,995,0x00000000
100857,996,0x00000000
100958,997,0x00000000
101059,998,0x00000000
101160,999,0x00000000
101264,1000,0x00000000
101365,1001,0x00000000
101466,1002,0x00000000
101567,1003,0x00000000
101668,1004,0x00000000
101769,1005,0x00000000
101870,1006,0x00000000
101971,1007,0x00000000
102072,1008,0x00000000
102173,1009,0x00000000
102274,1010,0x00000000
102375,1011,0x00000000
102479,1012,0x00000000
102580,1013,0x00000000
102681,1014,0x00000000
102782,1015,0x00000000
102883,1016,0x00000000
102984,1017,0x00000000
103085,1018,0x00000000
103186,1019,0x00000000
103287,1020,0x00000000
103388,1021,0x00000000
103489,1022,0x00000000
103590,1023,0x00000000
103691,1024,0x00000000
103792,1025,0x00000000
103893,1026,0x00000000
103994,1027,0x00000000
104095,1028,0x00000000
104196,1029,0x00000000
104297,1030,0x00000000
104398,1031,0x00000000
104499,1032,0x00000000
104603,1033,0x00000000
104704,1034,0x00000000
104805,1035,0x00000000
104906,1036,0x00000000
105007,1037,0x00000000
105108,1038,0x00000000
105209,1039,0x00000000
105310,1040,0x00000000
105411,1041,0x00000000
105512,1042,0x00000000
105613,1043,0x00000000
105714,1044,0x00000000
105815,1045,0x00000000
105916,1046,0x00000000
106017,1047,0x00000000
106118,1048,0x00000000
106219,1049,0x00000000
106326,1050,0x00000000
106427,1051,0x00000000
106528,1052,0x00000000
106629,1053,0x00000000
106733,1054,0x00000000
106834,1055,0x00000000
106935,1056,0x00000000
107036,1057,0x00000000
107137,1058,0x00000000
107238,1059,0x00000000
107339,1060,0x00000000
107440,1061,0x00000000
107541,1062,0x00000000
107642,1063,0x00000000
107743,1064,0x00000000
107844,1065,0x00000000
107945,1066,0x00000000
108046,1067,0x00000000
108147,1068,0x00000000
108248,1069,0x00000000
108349,1070,0x00000000
108450,1071,0x00000000
108551,1072,0x00000000
108652,1073,0x00000000
108753,1074,0x00000000
108854,1075,0x00000000
108958,1076,0x00000000
109059,1077,0x00000000
109160,1078,0x00000000
109261,1079,0x00000000
109362,1080,0x00000000
109463,1081,0x00000000
109564,1082,0x00000000
109665,1083,0x00000000
109766,1084,0x00000000
109867,1085,0x00000000
109968,1086,0x00000000
110069,1087,0x00000000
110170,1088,0x00000000
110271,1089,0x00000000
110372,1090,0x00000000
110473,1091,0x00000000
110574,1092,0x00000000
110675,1093,0x00000000
110776,1094,0x00000000
110877,1095,0x00000000
110978,1096,0x00000000
111082,1097,0x00000000
111183,1098,0x00000000
111284,1099,0x00000000
111391,1100,0x00000000
111492,1101,0x00000000
111593,1102,0x00000000
111694,1103,0x00000000
111795,1104,0x00000000
111896,1105,0x00000000
111997,1106,0x00000000
112098,1107,0x00000000
112199,1108,0x00000000
112300,1109,0x00000000
112401,1110,0x00000000
112502,1111,0x00000000
112603,1112,0x00000000
112704,1113,0x00000000
112805,1114,0x00000000
112906,1115,0x00000000
113007,1116,0x00000000
113108,1117,0x00000000
113212,1118,0x00000000
113313,1119,0x00000000
113414,1120,0x00000000
113515,1121,0x00000000
113616,1122,0x00000000
113717,1123,0x00000000
113818,1124,0x00000000
113919,1125,0x00000000
114020,1126,0x00000000
114121,1127,0x00000000
114222,1128,0x00000000
114323,1129,0x00000000
114424,1130,0x00000000
114525,1131,0x00000000
114626,1132,0x00000000
114727,1133,0x00000000
114828,1134,0x00000000
114929,1135,0x00000000
115030,1136,0x00000000
115131,1137,0x00000000
115232,1138,0x00000000
115333,1139,0x00000000
115437,1140,0x00000000
115538,1141,0x00000000
115639,1142,0x00000000
115740,1143,0x00000000
115841,1144,0x00000000
115942,1145,0x00000000
116043,1146,0x00000000
116144,1147,0x00000000
116245,1148,0x00000000
116346,1149,0x00000000
116454,1150,0x00000000
116555,1151,0x00000000
116656,1152,0x00000000
116757,1153,0x00000000
116858,1154,0x00000000
116959,1155,0x00000000
117060,1156,0x00000000
