t_ms,seq,hsd_err
205,0,0x00000000
306,1,0x00000000
407,2,0x00000000
508,3,0x00000000
609,4,0x00000000
710,5,0x00000000
811,6,0x00000000
912,7,0x00000000
1013,8,0x00000000
1114,9,0x00000000
1215,10,0x00000000
1316,11,0x00000000
1417,12,0x00000000
1518,13,0x00000000
1619,14,0x00000000
1720,15,0x00000000
1821,16,0x00000000
1922,17,0x00000000
2023,18,0x00000000
2124,19,0x00000000
2225,20,0x00000000
2326,21,0x00000000
2427,22,0x00000000
2528,23,0x00000000
2629,24,0x00000000
2730,25,0x00000000
2836,26,0x00000000
2937,27,0x00000000
3038,28,0x00000000
3139,29,0x00000000
3240,30,0x00000000
3341,31,0x00000000
3442,32,0x00000000
3543,33,0x00000000
3644,34,0x00000000
3745,35,0x00000000
3846,36,0x00000000
3947,37,0x00000000
4048,38,0x00000000
4149,39,0x00000000
4250,40,0x00000000
4351,41,0x00000000
4452,42,0x00000000
4553,43,0x00000000
4654,44,0x00000000
4755,45,0x00000000
4856,46,0x00000000
4957,47,0x00000000
5058,48,0x00000000
5159,49,0x00000000
5272,50,0x00000000
5373,51,0x00000000
5479,52,0x00000000
5580,53,0x00000000
5681,54,0x00000000
5782,55,0x00000000
5883,56,0x00000000
5984,57,0x00000000
6085,58,0x00000000
6186,59,0x00000000
6287,60,0x00000000
6388,61,0x00000000
6489,62,0x00000000
6590,63,0x00000000
6691,64,0x00000000
6792,65,0x00000000
6893,66,0x00000000
6994,67,0x00000000
7095,68,0x00000000
7196,69,0x00000000
7297,70,0x00000000
7398,71,0x00000000
7499,72,0x00000000
7600,73,0x00000000
7701,74,0x00000000
7802,75,0x00000000
7903,76,0x00000000
8009,77,0x00000000
8110,78,0x00000000
8211,79,0x00000000
8312,80,0x00000000
8413,81,0x00000000
8514,82,0x00000000
8615,83,0x00000000
8716,84,0x00000000
8817,85,0x00000000
8918,86,0x00000000
9019,87,0x00000000
9120,88,0x00000000
9221,89,0x00000000
9322,90,0x00000000
9423,91,0x00000000
9524,92,0x00000000
9625,93,0x00000000
9726,94,0x00000000
9827,95,0x00000000
9928,96,0x00000000
10029,97,0x00000000
10130,98,0x00000000
10231,99,0x00000000
9,0,0x00000000
111,1,0x00000000
212,2,0x00000000
313,3,0x00000000
414,4,0x00000000
515,5,0x00000000
616,6,0x00000000
717,7,0x00000000
818,8,0x00000000
919,9,0x00000000
1020,10,0x00000000
1121,11,0x00000000
1222,12,0x00000000
1323,13,0x00000000
1424,14,0x00000000
1525,15,0x00000000
1626,16,0x00000000
1727,17,0x00000000
1828,18,0x00000000
1929,19,0x00000000
2030,20,0x00000000
2131,21,0x00000000
2232,22,0x00000000
2333,23,0x00000000
2434,24,0x00000000
2535,25,0x00000000
2636,26,0x00000000
2737,27,0x00000000
2838,28,0x00000000
2939,29,0x00000000
3040,30,0x00000000
3141,31,0x00000000
3242,32,0x00000000
3343,33,0x00000000
3444,34,0x00000000
3545,35,0x00000000
3646,36,0x00000000
3747,37,0x00000000
3848,38,0x00000000
3949,39,0x00000000
4050,40,0x00000000
4151,41,0x00000000
4252,42,0x00000000
4353,43,0x00000000
4454,44,0x00000000
4555,45,0x00000000
4656,46,0x00000000
4757,47,0x00000000
4858,48,0x00000000
4959,49,0x00000000
5060,50,0x00000000
5161,51,0x00000000
5262,52,0x00000000
5363,53,0x00000000
5464,54,0x00000000
5565,55,0x00000000
5666,56,0x00000000
5767,57,0x00000000
5868,58,0x00000000
5969,59,0x00000000
6070,60,0x00000000
6171,61,0x00000000
6272,62,0x00000000
6373,63,0x00000000
6474,64,0x00000000
6575,65,0x00000000
6676,66,0x00000000
6777,67,0x00000000
6878,68,0x00000000
6979,69,0x00000000
7080,70,0x00000000
7181,71,0x00000000
7282,72,0x00000000
7383,73,0x00000000
7484,74,0x00000000
7585,75,0x00000000
7686,76,0x00000000
7787,77,0x00000000
7888,78,0x00000000
7989,79,0x00000000
8090,80,0x00000000
8199,81,0x00000000
8300,82,0x00000000
8401,83,0x00000000
8502,84,0x00000000
8603,85,0x00000000
8704,86,0x00000000
8805,87,0x00000000
8906,88,0x00000000
9007,89,0x00000000
9108,90,0x00000000
9209,91,0x00000000
9310,92,0x00000000
9411,93,0x00000000
9512,94,0x00000000
9613,95,0x00000000
9714,96,0x00000000
9815,97,0x00000000
9916,98,0x00000000
10017,99,0x00000000
10125,100,0x00000000
10226,101,0x00000000
10327,102,0x00000000
10428,103,0x00000000
10529,104,0x00000000
10630,105,0x00000000
10735,106,0x00000000
10836,107,0x00000000
10937,108,0x00000000
11038,109,0x00000000
11139,110,0x00000000
11240,111,0x00000000
11341,112,0x00000000
11442,113,0x00000000
11543,114,0x00000000
11644,115,0x00000000
11745,116,0x00000000
11846,117,0x00000000
11947,118,0x00000000
12048,119,0x00000000
12149,120,0x00000000
12250,121,0x00000000
12351,122,0x00000000
12452,123,0x00000000
12553,124,0x00000000
12654,125,0x00000000
12755,126,0x00000000
12856,127,0x00000000
12957,128,0x00000000
13062,129,0x00000000
13163,130,0x00000000
13264,131,0x00000000
13365,132,0x00000000
13466,133,0x00000000
13567,134,0x00000000
13668,135,0x00000000
13769,136,0x00000000
13870,137,0x00000000
13971,138,0x00000000
14072,139,0x00000000
14173,140,0x00000000
14274,141,0x00000000
14375,142,0x00000000
14476,143,0x00000000
14577,144,0x00000000
14678,145,0x00000000
14779,146,0x00000000
14880,147,0x00000000
14981,148,0x00000000
15082,149,0x00000000
15191,150,0x00000000
15292,151,0x00000000
15397,152,0x00000000
15498,153,0x00000000
15599,154,0x00000000
15700,155,0x00000000
15801,156,0x00000000
15902,157,0x00000000
16003,158,0x00000000
16104,159,0x00000000
16205,160,0x00000000
16306,161,0x00000000
16407,162,0x00000000
16508,163,0x00000000
16609,164,0x00000000
16710,165,0x00000000
16811,166,0x00000000
16912,167,0x00000000
17013,168,0x00000000
17114,169,0x00000000
17215,170,0x00000000
17316,171,0x00000000
17417,172,0x00000000
17518,173,0x00000000
17619,174,0x00000000
17720,175,0x00000000
17825,176,0x00000000
17926,177,0x00000000
18027,178,0x00000000
18128,179,0x00000000
18229,180,0x00000000
18330,181,0x00000000
18431,182,0x00000000
18532,183,0x00000000
18633,184,0x00000000
18734,185,0x00000000
18835,186,0x00000000
18936,187,0x00000000
19037,188,0x00000000
19138,189,0x00000000
19239,190,0x00000000
19340,191,0x00000000
19441,192,0x00000000
19542,193,0x00000000
19643,194,0x00000000
19744,195,0x00000000
19845,196,0x00000000
19946,197,0x00000000
20047,198,0x00000000
20153,199,0x00000000
20264,200,0x00000000
20365,201,0x00000000
20466,202,0x00000000
20567,203,0x00000000
20668,204,0x00000000
20769,205,0x00000000
20870,206,0x00000000
20971,207,0x00000000
21072,208,0x00000000
21173,209,0x00000000
21274,210,0x00000000
21375,211,0x00000000
21476,212,0x00000000
21577,213,0x00000000
21678,214,0x00000000
21779,215,0x00000000
21880,216,0x00000000
21981,217,0x00000000
22082,218,0x00000000
22183,219,0x00000000
22284,220,0x00000000
22385,221,0x00000000
22491,222,0x00000000
22592,223,0x00000000
22693,224,0x00000000
22794,225,0x00000000
22895,226,0x00000000
22996,227,0x00000000
23097,228,0x00000000
23198,229,0x00000000
23299,230,0x00000000
23400,231,0x00000000
23501,232,0x00000000
23602,233,0x00000000
23703,234,0x00000000
23804,235,0x00000000
23905,236,0x00000000
24006,237,0x00000000
24107,238,0x00000000
24208,239,0x00000000
24309,240,0x00000000
24410,241,0x00000000
24511,242,0x00000000
24612,243,0x00000000
24713,244,0x00000000
24819,245,0x00000000
24920,246,0x00000000
25021,247,0x00000000
25122,248,0x00000000
25223,249,0x00000000
25334,250,0x00000000
25435,251,0x00000000
25536,252,0x00000000
25637,253,0x00000000
25738,254,0x00000000
25839,255,0x00000000
25940,256,0x00000000
26041,257,0x00000000
26142,258,0x00000000
26243,259,0x00000000
26344,260,0x00000000
26445,261,0x00000000
26546,262,0x00000000
26647,263,0x00000000
26748,264,0x00000000
26849,265,0x00000000
26950,266,0x00000000
27051,267,0x00000000
27152,268,0x00000000
27257,269,0x00000000
27358,270,0x00000000
27459,271,0x00000000
27560,272,0x00000000
27661,273,0x00000000
27762,274,0x00000000
27863,275,0x00000000
27964,276,0x00000000
28065,277,0x00000000
28166,278,0x00000000
28267,279,0x00000000
28368,280,0x00000000
28469,281,0x00000000
28570,282,0x00000000
28671,283,0x00000000
28772,284,0x00000000
28873,285,0x00000000
28974,286,0x00000000
29075,287,0x00000000
29176,288,0x00000000
29277,289,0x00000000
29378,290,0x00000000
29479,291,0x00000000
29583,292,0x00000000
29684,293,0x00000000
29785,294,0x00000000
29886,295,0x00000000
29987,296,0x00000000
30088,297,0x00000000
30189,298,0x00000000
30290,299,0x00000000
30398,300,0x00000000
30499,301,0x00000000
30600,302,0x00000000
30701,303,0x00000000
30802,304,0x00000000
30903,305,0x00000000
31004,306,0x00000000
31105,307,0x00000000
31206,308,0x00000000
31307,309,0x00000000
31408,310,0x00000000
31509,311,0x00000000
31610,312,0x00000000
31711,313,0x00000000
31812,314,0x00000000
31916,315,0x00000000
32017,316,0x00000000
32118,317,0x00000000
32219,318,0x00000000
32320,319,0x00000000
32421,320,0x00000000
32522,321,0x00000000
32623,322,0x00000000
32724,323,0x00000000
32825,324,0x00000000
32926,325,0x00000000
33027,326,0x00000000
33128,327,0x00000000
33229,328,0x00000000
33330,329,0x00000000
33431,330,0x00000000
33532,331,0x00000000
33633,332,0x00000000
33734,333,0x00000000
33835,334,0x00000000
33936,335,0x00000000
34037,336,0x00000000
34138,337,0x00000000
34242,338,0x00000000
34343,339,0x00000000
34444,340,0x00000000
34545,341,0x00000000
34646,342,0x00000000
34747,343,0x00000000
34848,344,0x00000000
34949,345,0x00000000
35050,346,0x00000000
35151,347,0x00000000
35252,348,0x00000000
35353,349,0x00000000
35461,350,0x00000000
35562,351,0x00000000
35663,352,0x00000000
35764,353,0x00000000
35865,354,0x00000000
35966,355,0x00000000
36067,356,0x00000000
36168,357,0x00000000
36269,358,0x00000000
36370,359,0x00000000
36471,360,0x00000000
36572,361,0x00000000
36679,362,0x00000000
36780,363,0x00000000
36881,364,0x00000000
36982,365,0x00000000
37083,366,0x00000000
37184,367,0x00000000
37285,368,0x00000000
37386,369,0x00000000
37487,370,0x00000000
37588,371,0x00000000
37689,372,0x00000000
37790,373,0x00000000
37891,374,0x00000000
37992,375,0x00000000
38093,376,0x00000000
